first_name,prop_female
AALINE,1.0
AARAO,0.0
AARON,0.0
ABA,1.0
ABADE,0.0
ABADI,0.0
ABADIA,0.983212161269002
ABADIAS,0.22388059701492538
ABADIO,0.0
ABAETE,0.0
ABD,0.0
ABDA,1.0
ABDAL,0.0
ABDALA,0.0
ABDALLA,0.0
ABDALLAH,0.0
ABDAO,0.0
ABDE,0.0
ABDEEL,0.0
ABDEL,0.0
ABDENAGO,0.0
ABDENEGO,0.0
ABDENICO,0.0
ABDENIGO,0.0
ABDENIO,0.0
ABDENOR,0.0
ABDER,0.0
ABDERMAN,0.0
ABDI,0.0
ABDIA,0.0
ABDIAS,0.0054043620922601815
ABDIEL,0.0
ABDISIO,0.0
ABDNEGO,0.0
ABDO,0.0
ABDOM,0.0
ABDON,0.0
ABDORAL,0.0
ABDU,0.0
ABDUL,0.0
ABE,0.0
ABECIO,0.0
ABEDENEGO,0.0
ABEDIAS,0.0
ABEDIEL,0.0
ABEDNEGO,0.0
ABEDON,0.0
ABEGAIL,1.0
ABEGAIR,1.0
ABEILARD,0.0
ABEILDO,0.0
ABEILTON,0.0
ABEL,0.0072143096203190656
ABELA,1.0
ABELAR,0.0
ABELARD,0.0
ABELARDA,1.0
ABELARDO,0.0
ABELI,1.0
ABELICE,1.0
ABELICIA,1.0
ABELINA,1.0
ABELINO,0.0
ABELIO,0.0
ABELIRIO,0.0
ABELITA,1.0
ABELMAR,0.0
ABELO,0.0
ABELOR,0.0
ABELSON,0.0
ABEMAEL,0.0
ABEMOR,0.0
ABENAIAS,0.0
ABENAIDE,1.0
ABENAIR,0.6428571428571429
ABENALDO,0.0
ABENE,0.0
ABENEIR,0.0
ABENEL,0.0
ABENER,0.0
ABENEVALDO,0.0
ABENI,0.4492753623188406
ABENIAS,0.0
ABENICIO,0.0
ABENIL,0.0
ABENILDE,1.0
ABENILDES,1.0
ABENILDO,0.0
ABENILSON,0.0
ABENILTON,0.0
ABENILZA,1.0
ABENIR,0.23493975903614459
ABENITA,1.0
ABENIZA,1.0
ABENIZIA,1.0
ABENONE,0.0
ABENOR,0.0
ABERALDO,0.0
ABERCIO,0.0
ABERLADO,0.0
ABERLAN,0.0
ABERLANDIA,1.0
ABERLARDO,0.0
ABERLINDO,0.0
ABERSON,0.0
ABERVAL,0.0
ABETINO,0.0
ABEVALDO,0.0
ABGAIL,0.9763150647204627
ABGAIR,1.0
ABHNER,0.0
ABI,0.38613861386138615
ABIA,1.0
ABIAIL,1.0
ABIANA,1.0
ABIANE,1.0
ABIAS,0.11722488038277512
ABIATAR,0.0
ABIB,0.0
ABIDA,1.0
ABIDAN,0.0
ABIDAO,0.0
ABIDENOR,0.0
ABIDERMAN,0.0
ABIDIAS,0.0
ABIDIEL,0.0
ABIDOM,0.0
ABIDON,0.0
ABIDORAL,0.0
ABIEL,0.0
ABIEZER,0.0
ABIGAIL,0.9824323012714743
ABIGAIR,0.9201183431952663
ABIGAIU,1.0
ABIGAL,1.0
ABILA,1.0
ABILANE,1.0
ABILDE,0.5038759689922481
ABILE,0.0
ABILENE,0.9788732394366197
ABILIA,1.0
ABILIANE,1.0
ABILINO,0.0
ABILIO,0.002546565774155995
ABILO,0.0
ABIMAEL,0.006125166444740347
ABIMAELE,1.0
ABIMAR,0.0
ABIMELEQUE,0.0
ABINA,1.0
ABINADA,0.0
ABINADAB,0.0
ABINADABE,0.11244019138755981
ABINADABI,0.0
ABINAEL,0.0
ABINAIR,1.0
ABINALDO,0.0
ABINE,0.08366533864541832
ABINEL,0.0
ABINER,0.0
ABINOA,0.5714285714285714
ABINOAM,0.5614035087719298
ABINOAN,0.47639484978540775
ABINOEL,0.0
ABIO,0.0
ABIQUEILA,1.0
ABIRAN,0.0
ABISAEL,0.0
ABISAGUE,1.0
ABISAI,0.0
ABISAIR,0.0
ABISALAO,0.0
ABISMAEL,0.0
ABISON,0.0
ABISSALAO,0.0
ABIUDE,0.46551724137931033
ABIZAEL,0.0
ABIZAI,0.0
ABKEILA,1.0
ABLA,1.0
ABLENE,1.0
ABMAEL,0.0
ABMAR,0.0
ABMARIO,0.0
ABNA,1.0
ABNADAB,0.0
ABNADABE,0.0
ABNAEL,0.0
ABNE,0.04790419161676647
ABNEL,0.0
ABNER,0.01193222496221462
ABNI,0.0
ABNILDO,0.0
ABNNER,0.0
ABNOAM,1.0
ABNOAN,0.5154639175257731
ABNOEL,0.0
ABRAA,0.0
ABRAAM,0.0
ABRAAO,0.005242773474400151
ABRAHAM,0.0
ABRAHAN,0.0
ABRAHAO,0.0
ABRAHIM,0.0
ABRAIM,0.0
ABRAIN,0.0
ABRAM,0.0
ABRAMO,0.0
ABRANTES,0.0
ABRAO,0.006003001500750375
ABRELINA,1.0
ABRELINO,0.0
ABREU,0.09342560553633218
ABRILINA,1.0
ABRILINO,0.0
ABSAEL,0.0
ABSAI,0.0
ABSAIR,0.0
ABSALAO,0.0
ABSALON,0.0
ABSOLON,0.0
ABSON,0.0
ABUD,0.0
ABYMAEL,0.0
ACACIA,1.0
ACACIO,0.0040650406504065045
ACADIO,0.0
ACAIO,0.0
ACARCIO,0.0
ACARI,0.0
ACARY,0.0
ACASIO,0.0
ACASSIA,1.0
ACASSIANO,0.0
ACASSIO,0.00484613520717228
ACATIA,1.0
ACAUA,0.0
ACAUAN,0.0
ACAZ,0.0
ACCACIO,0.0
ACEBIAS,0.0
ACEDINA,1.0
ACEDIR,0.0
ACEIR,0.0
ACEL,0.0
ACELA,1.0
ACELI,0.8212765957446808
ACELIA,1.0
ACELINA,1.0
ACELINE,1.0
ACELINO,0.0
ACELIO,0.0
ACELIR,1.0
ACELMO,0.0
ACELON,0.0
ACELSO,0.0
ACEMAR,0.0
ACEMIR,0.0
ACENATE,1.0
ACENDINA,1.0
ACENDINO,0.0
ACENI,0.5555555555555556
ACENIL,0.0
ACENILDA,1.0
ACENILDE,1.0
ACENILDO,0.0
ACENILTON,0.0
ACENIR,0.375
ACENOR,0.0
ACER,0.0
ACETIDES,0.0
ACHILA,1.0
ACHILES,0.0
ACHILEY,1.0
ACHILIS,0.0
ACHILLE,0.0
ACHILLES,0.0
ACHLEY,1.0
ACHYLLES,0.0
ACI,0.38125
ACIARA,1.0
ACIDALHA,1.0
ACIDALIA,1.0
ACIDE,0.0
ACIDINO,0.0
ACIDIO,0.0
ACIEL,0.0
ACIELE,1.0
ACIENE,1.0
ACILANE,1.0
ACILDA,1.0
ACILDO,0.0
ACILEA,1.0
ACILEIA,1.0
ACILENE,1.0
ACILIA,1.0
ACILINA,1.0
ACILINO,0.0
ACILIO,0.0
ACILO,0.0
ACILON,0.0
ACIMAR,0.1
ACINDINO,0.0
ACINEIDE,1.0
ACINELSON,0.0
ACINETE,1.0
ACINTIA,1.0
ACIO,0.0
ACIOL,0.0
ACIOLI,0.19172932330827067
ACIOLINO,0.0
ACIOLY,0.0
ACIOMAR,0.0
ACIONE,0.6204379562043796
ACIONEIDE,1.0
ACIONI,0.6417910447761194
ACIR,0.0225531914893617
ACIREMA,1.0
ACIRENE,1.0
ACIRES,1.0
ACIRIA,1.0
ACIRIO,0.0
ACIRLENE,1.0
ACISA,1.0
ACISIO,0.0
ACIVAL,0.0
ACIVALDO,0.0
ACKSON,0.0
ACLAIR,0.6
ACLECIA,1.0
ACLECIANA,1.0
ACLECIANE,1.0
ACLECIANO,0.0
ACLECIO,0.0
ACLEDISON,0.0
ACLEDSON,0.0
ACLEI,0.0
ACLEIA,1.0
ACLEIDE,1.0
ACLEILTON,0.0
ACLEITON,0.0
ACLES,0.0
ACLESIA,1.0
ACLESIO,0.0
ACLIDES,0.0
ACLIMAR,0.0
ACLINIO,0.0
ACLIS,0.0
ACLISIO,0.0
ACRESIO,0.0
ACRICIA,1.0
ACRICIO,0.0
ACRINALDO,0.0
ACRISIA,1.0
ACRISIO,0.0
ACRIZIO,0.0
ACSA,0.9881489841986456
ACSEL,0.0
ACSIA,1.0
ACSON,0.0
ACSSA,1.0
ACTON,0.0
ACUCENA,1.0
ACURCIO,0.0
ACY,0.5403508771929825
ACYLINO,0.0
ACYR,0.07521367521367521
ACZA,1.0
ADA,0.9497639282341832
ADABEL,0.0
ADACI,0.7662337662337663
ADACIA,1.0
ADACIEL,0.0
ADACILDA,1.0
